component,explained_variance,explained_variance_ratio
PC1,8.242496570689669,0.24977185153394046
PC2,7.403395201557843,0.22434461589055527
PC3,4.265035445642988,0.1292430989785658
PC4,2.768342177315604,0.08388889766317038
PC5,2.0082984338048413,0.06085734024177781
PC6,1.5959013661450054,0.0483604980201078
PC7,1.4851217923513997,0.04500355161178742
PC8,1.1692405694111956,0.035431422919718264
PC9,0.8367260408072714,0.025355256219610278
PC10,0.7700330158907027,0.02333426170964025
PC11,0.5442563491403279,0.01649256567691942
PC12,0.4720433106932729,0.014304298546551249
PC13,0.3726585541724167,0.011292648564343605
PC14,0.3289850551208315,0.009969213288692953
PC15,0.1857250061622291,0.0056280130986346285
PC16,0.17821555302708844,0.00540045461590001
PC17,0.11657561308730888,0.00353258341993888
PC18,0.08195507674386888,0.002483479499853712
PC19,0.06299498487102488,0.0019089330366893825
PC20,0.04718745800592845,0.0014299185512836239
PC21,0.03390863699204435,0.001027531279128761
PC22,0.02311453266033438,0.000700438219221532
PC23,0.0037286867688908674,0.00011299015899718501
PC24,0.003269976980973155,9.908990534680811e-05
PC25,0.0004251493735847031,1.2883274540429812e-05
PC26,0.00026517513741422587,8.035585393901642e-06
PC27,0.0002022379347345244,6.128403327296234e-06
PC28,2.848250439518319e-09,8.631035267162079e-11
PC29,1.6434357087239757e-12,4.980092819263799e-14
PC30,4.879978465535738e-14,1.478776783622771e-15
PC31,3.5286368371460935e-14,1.0692805858590758e-15
PC32,4.614611912321327e-15,1.3983629250750598e-16
PC33,1.5065059579568037e-16,4.565155462773811e-18
